level_0,index,X_Raster,Y_Raster,rock_types
230,501,88.0,282.0,0.0
231,502,89.0,282.0,0.0
232,503,90.0,282.0,0.0
233,504,94.0,282.0,0.0
234,505,342.0,282.0,1.0
235,506,346.0,282.0,1.0
236,507,350.0,282.0,1.0
237,508,352.0,282.0,1.0
238,509,356.0,282.0,1.0
239,510,900.0,282.0,1.0
240,511,976.0,282.0,1.0
241,512,987.0,282.0,1.0
242,513,1121.0,282.0,1.0
243,514,1134.0,282.0,1.0
244,515,88.0,283.0,0.0
245,516,91.0,283.0,0.0
246,517,92.0,283.0,0.0
247,519,346.0,283.0,1.0
248,520,347.0,283.0,1.0
249,521,350.0,283.0,1.0
250,522,354.0,283.0,1.0
251,523,893.0,283.0,1.0
252,524,894.0,283.0,1.0
253,525,899.0,283.0,1.0
254,526,1011.0,283.0,1.0
255,527,1016.0,283.0,1.0
256,528,1029.0,283.0,1.0
257,529,1036.0,283.0,1.0
258,530,1038.0,283.0,1.0
259,531,1042.0,283.0,1.0
260,532,1045.0,283.0,1.0
261,533,1053.0,283.0,1.0
262,534,1054.0,283.0,1.0
263,535,83.0,284.0,0.0
264,536,86.0,284.0,0.0
265,537,88.0,284.0,0.0
266,538,89.0,284.0,0.0
267,539,90.0,284.0,0.0
268,540,93.0,284.0,0.0
269,541,345.0,284.0,1.0
270,542,348.0,284.0,1.0
271,543,352.0,284.0,1.0
272,544,359.0,284.0,1.0
273,545,895.0,284.0,1.0
274,546,989.0,284.0,1.0
275,547,1015.0,284.0,1.0
276,548,1023.0,284.0,1.0
277,549,1024.0,284.0,1.0
278,550,1027.0,284.0,1.0
279,551,1047.0,284.0,1.0
280,552,1130.0,284.0,1.0
281,553,1134.0,284.0,1.0
282,554,1136.0,284.0,1.0
283,555,78.0,285.0,0.0
284,556,79.0,285.0,0.0
285,557,83.0,285.0,0.0
286,559,86.0,285.0,0.0
287,560,89.0,285.0,0.0
288,561,91.0,285.0,0.0
289,562,92.0,285.0,0.0
290,563,338.0,285.0,1.0
291,564,344.0,285.0,1.0
292,565,350.0,285.0,1.0
293,566,354.0,285.0,1.0
294,567,355.0,285.0,1.0
295,568,362.0,285.0,1.0
296,569,364.0,285.0,1.0
297,570,1013.0,285.0,1.0
298,571,1027.0,285.0,1.0
299,572,1030.0,285.0,1.0
300,573,1035.0,285.0,1.0
301,574,1054.0,285.0,1.0
302,575,1141.0,285.0,1.0
303,576,74.0,286.0,0.0
304,577,75.0,286.0,0.0
305,578,76.0,286.0,0.0
306,579,79.0,286.0,0.0
307,580,82.0,286.0,0.0
308,582,86.0,286.0,0.0
309,583,87.0,286.0,0.0
310,584,340.0,286.0,1.0
311,585,345.0,286.0,1.0
312,586,346.0,286.0,1.0
313,587,347.0,286.0,1.0
314,588,350.0,286.0,1.0
315,589,355.0,286.0,1.0
316,590,360.0,286.0,1.0
317,591,366.0,286.0,1.0
318,592,896.0,286.0,1.0
319,593,983.0,286.0,1.0
320,594,1011.0,286.0,1.0
321,595,1017.0,286.0,1.0
322,596,1030.0,286.0,1.0
323,597,1041.0,286.0,1.0
324,598,1042.0,286.0,1.0
325,599,1048.0,286.0,1.0
326,600,1132.0,286.0,1.0
327,601,1140.0,286.0,1.0
328,602,79.0,287.0,0.0
329,603,80.0,287.0,0.0
330,604,81.0,287.0,0.0
331,605,85.0,287.0,0.0
332,606,336.0,287.0,1.0
333,607,337.0,287.0,1.0
334,608,343.0,287.0,1.0
335,609,888.0,287.0,1.0
336,610,896.0,287.0,1.0
337,611,996.0,287.0,1.0
338,612,1000.0,287.0,1.0
339,613,1008.0,287.0,1.0
340,614,1023.0,287.0,1.0
341,615,1027.0,287.0,1.0
342,616,1032.0,287.0,1.0
343,617,1119.0,287.0,1.0
344,618,337.0,288.0,1.0
345,619,1015.0,288.0,1.0
346,620,1038.0,288.0,1.0
347,621,1134.0,288.0,1.0
348,622,340.0,289.0,1.0
349,623,342.0,289.0,1.0
350,624,883.0,289.0,1.0
351,625,887.0,289.0,1.0
352,626,891.0,289.0,1.0
353,627,996.0,289.0,1.0
354,628,997.0,289.0,1.0
355,629,1016.0,289.0,1.0
356,630,1024.0,289.0,1.0
357,631,1030.0,289.0,1.0
358,632,1123.0,289.0,1.0
359,633,1128.0,289.0,1.0
360,634,336.0,290.0,1.0
361,635,885.0,290.0,1.0
362,636,886.0,290.0,1.0
363,637,889.0,290.0,1.0
364,638,893.0,290.0,1.0
365,639,895.0,290.0,1.0
366,640,1002.0,290.0,1.0
367,641,1030.0,290.0,1.0
368,642,1118.0,290.0,1.0
369,643,884.0,291.0,1.0
370,644,985.0,291.0,1.0
371,645,998.0,291.0,1.0
372,646,1000.0,291.0,1.0
373,647,1012.0,291.0,1.0
374,648,1032.0,291.0,1.0
375,649,1118.0,291.0,1.0
376,650,877.0,292.0,1.0
377,651,879.0,292.0,1.0
378,652,890.0,292.0,1.0
379,653,979.0,292.0,1.0
380,654,986.0,292.0,1.0
381,655,988.0,292.0,1.0
382,656,992.0,292.0,1.0
383,657,999.0,292.0,1.0
384,658,1018.0,292.0,1.0
385,659,1121.0,292.0,1.0
386,660,1125.0,292.0,1.0
387,661,339.0,293.0,1.0
388,662,881.0,293.0,1.0
389,663,889.0,293.0,1.0
390,664,891.0,293.0,1.0
391,665,1007.0,293.0,1.0
392,666,1120.0,293.0,1.0
393,667,876.0,294.0,1.0
394,668,885.0,294.0,1.0
395,669,894.0,294.0,1.0
396,670,1015.0,294.0,1.0
397,671,1017.0,294.0,1.0
398,672,1021.0,294.0,1.0
399,673,1124.0,294.0,1.0
400,674,335.0,295.0,1.0
401,675,877.0,295.0,1.0
402,676,885.0,295.0,1.0
403,677,896.0,295.0,1.0
404,678,1124.0,295.0,1.0
405,679,336.0,296.0,1.0
406,680,337.0,296.0,1.0
407,681,339.0,296.0,1.0
408,682,878.0,296.0,1.0
409,683,879.0,296.0,1.0
410,684,892.0,296.0,1.0
411,685,1005.0,296.0,1.0
412,686,338.0,297.0,1.0
413,687,872.0,297.0,1.0
414,688,880.0,297.0,1.0
415,689,1021.0,297.0,1.0
416,690,338.0,298.0,1.0
417,691,340.0,298.0,1.0
418,692,875.0,298.0,1.0
419,693,871.0,299.0,1.0
420,694,872.0,299.0,1.0
421,695,874.0,299.0,1.0
422,696,881.0,299.0,1.0
423,697,1018.0,299.0,1.0
424,698,332.0,300.0,1.0
425,699,335.0,300.0,1.0
426,700,341.0,300.0,1.0
427,701,868.0,300.0,1.0
428,702,870.0,300.0,1.0
429,703,879.0,300.0,1.0
430,704,882.0,300.0,1.0
431,705,889.0,300.0,1.0
432,706,339.0,301.0,1.0
433,707,872.0,301.0,1.0
434,708,873.0,301.0,1.0
435,709,880.0,301.0,1.0
436,710,888.0,301.0,1.0
437,711,1021.0,301.0,1.0
438,712,333.0,302.0,1.0
439,713,337.0,302.0,1.0
440,714,343.0,302.0,1.0
441,715,868.0,302.0,1.0
442,716,869.0,302.0,1.0
443,717,878.0,302.0,1.0
444,718,879.0,302.0,1.0
445,719,346.0,303.0,1.0
446,720,873.0,303.0,1.0
447,721,880.0,303.0,1.0
448,722,870.0,304.0,1.0
449,723,873.0,304.0,1.0
450,724,881.0,304.0,1.0
451,725,876.0,305.0,1.0
452,726,1019.0,305.0,1.0
453,727,336.0,306.0,1.0
454,728,343.0,306.0,1.0
455,729,869.0,306.0,1.0
456,730,342.0,307.0,1.0
457,731,344.0,307.0,1.0
458,732,411.0,307.0,1.0
459,733,860.0,307.0,1.0
460,734,871.0,307.0,1.0
461,735,875.0,307.0,1.0
462,736,880.0,307.0,1.0
463,737,1002.0,307.0,1.0
464,738,1020.0,307.0,1.0
465,739,1022.0,307.0,1.0
466,740,341.0,308.0,1.0
467,741,342.0,308.0,1.0
468,742,344.0,308.0,1.0
469,743,408.0,308.0,1.0
470,744,409.0,308.0,1.0
471,745,859.0,308.0,1.0
472,746,860.0,308.0,1.0
473,747,872.0,308.0,1.0
474,748,873.0,308.0,1.0
475,749,874.0,308.0,1.0
476,750,878.0,308.0,1.0
477,751,337.0,309.0,1.0
478,752,403.0,309.0,1.0
479,753,408.0,309.0,1.0
480,754,409.0,309.0,1.0
481,755,870.0,309.0,1.0
482,756,872.0,309.0,1.0
483,757,1004.0,309.0,1.0
484,758,1019.0,309.0,1.0
485,759,342.0,310.0,1.0
486,760,349.0,310.0,1.0
487,761,408.0,310.0,1.0
488,762,855.0,310.0,1.0
489,763,876.0,310.0,1.0
490,764,1008.0,310.0,1.0
491,765,341.0,311.0,1.0
492,766,343.0,311.0,1.0
493,767,390.0,311.0,1.0
494,768,391.0,311.0,1.0
495,769,392.0,311.0,1.0
496,770,393.0,311.0,1.0
497,771,1022.0,311.0,1.0
498,772,859.0,312.0,1.0
499,773,1010.0,312.0,1.0
500,774,1021.0,312.0,1.0
501,775,1022.0,312.0,1.0
502,776,1024.0,312.0,1.0
503,777,858.0,313.0,1.0
504,778,1021.0,314.0,1.0
505,779,1024.0,315.0,1.0
506,780,256.0,317.0,0.0
507,781,1019.0,317.0,1.0
508,782,253.0,318.0,0.0
509,783,256.0,318.0,0.0
510,785,256.0,319.0,0.0
511,786,253.0,321.0,0.0
512,787,262.0,321.0,0.0
513,788,254.0,322.0,0.0
514,789,254.0,324.0,0.0
515,790,259.0,324.0,0.0
516,791,255.0,325.0,0.0
517,792,259.0,325.0,0.0
518,793,254.0,326.0,0.0
519,795,258.0,327.0,0.0
520,796,260.0,327.0,0.0
521,797,261.0,327.0,0.0
522,798,262.0,327.0,0.0
523,799,255.0,328.0,0.0
524,800,256.0,328.0,0.0
525,801,257.0,328.0,0.0
526,802,259.0,328.0,0.0
527,803,256.0,329.0,0.0
528,805,259.0,329.0,0.0
529,806,260.0,329.0,0.0
530,807,262.0,329.0,0.0
531,808,263.0,329.0,0.0
532,809,265.0,329.0,0.0
533,810,261.0,330.0,0.0
534,811,263.0,330.0,0.0
535,812,256.0,331.0,0.0
536,813,258.0,331.0,0.0
537,815,258.0,332.0,0.0
538,816,259.0,332.0,0.0
539,817,258.0,333.0,0.0
540,818,259.0,333.0,0.0
541,819,259.0,334.0,0.0
542,820,256.0,336.0,0.0
543,821,257.0,336.0,0.0
544,822,257.0,337.0,0.0
545,823,259.0,339.0,0.0
546,825,259.0,340.0,0.0
547,826,258.0,341.0,0.0
548,827,257.0,342.0,0.0
549,828,258.0,342.0,0.0
550,829,257.0,343.0,0.0
551,830,803.0,343.0,0.0
552,831,257.0,344.0,0.0
553,832,258.0,344.0,0.0
554,833,800.0,344.0,0.0
555,835,804.0,345.0,0.0
556,836,806.0,345.0,0.0
557,837,807.0,345.0,0.0
558,838,259.0,346.0,0.0
559,839,803.0,346.0,0.0
560,840,805.0,346.0,0.0
561,841,806.0,346.0,0.0
562,842,809.0,346.0,0.0
563,843,258.0,347.0,0.0
564,845,802.0,347.0,0.0
565,846,810.0,347.0,0.0
566,847,258.0,348.0,0.0
